Model,Make
Jet Commander 1121,AERO COMMANDER
Jet Fox,EUROALA
Jet Provost,BAC
Jet Provost,HUNTING PERCIVAL
Jet Provost,HUNTING
Jet Provost 145,BAC
Jet Provost P-84,HUNTING
Jet Provost P-84,HUNTING PERCIVAL
Jet Squalus,GENERAL AVIA
Jet Squalus,PROMAVIA
Jet Squalus F-1300,PROMAVIA
Jet Squalus F-1300,GENERAL AVIA
Jetcruzer,AASI
JetExec,ROTORWAY
John Doe,AMERICAN HOMEBUILTS
JRM Mars,MARTIN
JT-2-2 Tazarve,IRIAF
Junior,BOLKOW
Junior,MALMO
Junior,TIPSY
Junior Ace,ACE
Junior Ace,ACRO SPORT
Junior Ace,CORBEN
Junior Ace,POBER
Junior BO-208,BOLKOW
Junior MFI-9,MALMO
Jupiter,LAMMER GEYER
JWM,WACO
JYM,WACO
K-1 Vega Gull,PERCIVAL
K-1200 K-Max,KAMAN
Karatoo,ANGLIN
Karatoo,COUNTRY AIR
Karatoo,GROVER
"Karatoo, AMAX KTOO LKaratoo",NORMAN
Karatoo J-6,NORMAN
Karatoo J-6,GROVER
Karatoo J-6,COUNTRY AIR
Karatoo J-6,AMAX
Karatoo J-6,ANGLIN
Katana Xtreme,DIAMOND
Katana Xtreme HK-36,DIAMOND
Katran,AEROSAMARA
Kestrel,FARNBOROUGH
Kfir,IAI
King Colbra,KOLB
Kingfisher,ANDERSON
Kingfisher EA-1,ANDERSON
Kitfox,KITFOX
Kitfox,DENNEY
Kitfox,SKYSTAR
Kitfox Vixen,SKYSTAR
Kitfox Voyager,SKYSTAR
Kiwi,VALENTIN
Kiwi,TWI
K-Max,KAMAN
K-Max K-1200,KAMAN
KNF,WACO
Knight Twister,PAYNE
Kodiak,QUEST
Kraguj,SOKO
Kraguj J-20,SOKO
Kraguj P-2,SOKO
Krähe,ROCK
L-1 Malamut,MARA WING
L-6 Paulistinha,NEIVA
L-17 Navion,RYAN
L-17 Navion,NORTH AMERICAN
L-42 Regente,NEIVA
L-049 Constellation,LOCKHEED
L-749 Constellation,LOCKHEED
L-1049 Super Constellation,LOCKHEED
LA-5 Major,LUTON
LACO-125,LAVEN
LACO-145,LAVEN
LAK-X,AEROPLASTIKA
LAK-X,AVIA BALTIKA
Lama,EUROCOPTER
Lama,AEROSPATIALE
Lama,SUD
Lama SA-315,SUD
Lama SA-315,AEROSPATIALE
Lama SA-315,EUROCOPTER
Lancair ES,LANCAIR
Lancair ES,PADC
Lancair ES,PAI
Lancair Super ES,LANCAIR
Lancaster,AVRO
Lancaster 683,AVRO
Lancer,HINDUSTAN
Lancer SA-315,HINDUSTAN
LAR Cadet,CULVER
Lark,KELEHER
Lark Commander,NORTH AMERICAN ROCKWELL
Lark Commander 100,NORTH AMERICAN ROCKWELL
Laser,KOLB
Laser 300,OMAC
Lasta,UTVA
LCA Cadet,CULVER
LCA Tejas,ADA
LC-B200 Commercial,LAIRD
LE-500 Little Eagle,SHIJIAZHUANG
LE-500 Xiaoying,SHIJIAZHUANG
Leader,MAVERICK
Leader TJ-1500,MAVERICK
Legend,PERFORMANCE
Levitation 4,TAPANEE
LFA Cadet,CULVER
Lightning,ARION
Lightning,ENGLISH ELECTRIC
Lightning,BAC
Lightning Bug,LIGHTNING BUG
Lightning Bug,REFLEX
Lionheart,GRIFFON
Lite Star,CUSTOM FLIGHT
Little Eagle,SHIJIAZHUANG
Little Toot,MEYER
Loadmaster,EXPRESS
LoCamp,AEROLAB
Lone Ranger,STRIPLIN
Long-EZ,RUTAN
Long-EZ 61,RUTAN
LT-1 Swati,BHARAT
LT-2 Swati,BHARAT
LW-4 Roto-Pup,LITTLE WING
LW-5 Roto-Pup,LITTLE WING
Lynx,WESTLAND
Lynx Wildcat,WESTLAND
Lynx SH-14,WESTLAND
Lysander,NATIONAL STEEL
Lysander,WESTLAND
M-1 Sokol,MRAZ
M-3 Falcon Major,MILES
M-6,WET AERO
M-10 AirTourer,MILLICER
M-11 Whitney Straight,MILES
M-14 Magister,MILES
M-17 Monarch,MILES
M-18 Mite,MOONEY
M-18 Wee Scotsman,MOONEY
M-20 Venture,QUESTAIR
M-22 SeaMax,AIRMAX
M-38 Messenger,MILES
M-65 Gemini,MILES
MA-2 Mamba,MELBOURNE
"Macho Stinker, KIMBALL PTMS LMacho Stinker",PITTS
Macho Stinker S-12,KIMBALL
Macho Stinker S-12,PITTS
Mad Max,MAD MAX AERO
Magic,KAISER
Magister,IAI
Magister,FOUGA
Magister,AEROSPATIALE
Magister,MILES
Magister,POTEZ
Magister,SUDFLUG
Magister,SUD
Magister,VALMET
Magister CM-170R,IAI
Magister CM-170R,VALMET
Magister CM-170R,POTEZ
Magister CM-170R,SUD
Magister CM-170R,SUDFLUG
Magister CM-170R,AEROSPATIALE
Magister CM-170R,FOUGA
Magister M-14,MILES
Magnum,AIRDALE
Magnum,AVIATION ENTERPRISES
Magnum,AVID
Major,LUTON
Major LA-5,LUTON
Malamut,MARA WING
Mallard,ADVANCED AEROMARINE
Mamba,MELBOURNE
Mamba MA-2,MELBOURNE
Marathon,MIRAGE
Marlin,VULCANAIR
Mars,MARTIN
"Mars 170, MARTIN MARS MMars JRM",MARTIN
Mascato,COLYAER
Matador,CASA
Matador,MCDONNELL DOUGLAS
Matador EAV-8,MCDONNELL DOUGLAS
Matador EAV-8,CASA
Matador TAV-8,MCDONNELL DOUGLAS
Maverick,AEA
MC,FLIGHT DESIGN
McCullocoupe,KIMBALL
MD-311 Flamant,DASSAULT
MD-312 Flamant,DASSAULT
MD-900 Combat Explorer,MCDONNELL DOUGLAS
MD-900 Explorer,MCDONNELL DOUGLAS
MD-902 Explorer,BOEING
MD-902 Explorer,MCDONNELL DOUGLAS
MD-902 Explorer,MD HELICOPTERS
Merkury,AVIATON
Merlin,BLUE YONDER
Merlin,AEROCOMP
Merlin,MACAIR
Merlin,MERLIN
Mermaid,CZAW
Mermaid,CSA
Messenger,MILES
Messenger M-38,MILES
Meteor,ARMSTRONG WHITWORTH
Meteor,GLOSTER
Metropolitan,CONVAIR
Metropolitan CV-440,CONVAIR
MFI-9,ANDREASSON
MFI-9 Junior,MALMO
MH-90 Enforcer,MCDONNELL DOUGLAS
MH-1521 Broussard,MAX HOLSTE
Microjet 200,MICROJET
Microjet 200,MICROTURBO
Microjet 200,MARMANDE
Midget Mustang,BUSHBY
Midget Mustang,LONG
Midget Mustang,MUSTANG
Midget Mustang MM-1,LONG
Midget Mustang MM-1,MUSTANG
Midget Mustang MM-1,BUSHBY
Midour 2,ACBA
Midour 2 ACBA-8,ACBA
MiG-AT,MIKOYAN
MiG-AT,MAPO
Minerva MS-894,SOCATA
Mini Coupe,CHRIS TENA
Mini-Imp,AEROCAR
Mini-Mac,MCCARLEY
Mirage 3,DASSAULT
Mirage 5,DASSAULT
Mirage 50,DASSAULT
Missionmaster,GAF
Missionmaster N-22,GAF
Mite,MOONEY
Mite M-18,MOONEY
Mitsubishi Zero,WAR
ML-250 Rubis,SCINTEX
MM-1 Midget Mustang,BUSHBY
MM-1 Midget Mustang,LONG
MM-1 Midget Mustang,MUSTANG
Monarch,MILES
Monarch M-17,MILES
Monerai P,MONNETT
Moni,MONNETT
MonoCulp,CULP
Moottori-Lerche,ALANNE
Mosquito,DE HAVILLAND
Mosquito DH-98,DE HAVILLAND
Moto Du Ciel,HUMBERT
Mountain Goat,KINETIC
Mountain Goat,MONTAGNE
MPX,DIAMOND
MS-880 Rallye 100,SOCATA
MS-880 Rallye Club,SOCATA
MS-883 Rallye 115,SOCATA
MS-884 Rallye Minerva,SOCATA
MS-887 Rallye 125,SOCATA
MS-892 Rallye 150,SOCATA
MS-892 Rallye Commodore,SOCATA
MS-893 Gaillard,SOCATA
MS-893 Rallye Commodore,SOCATA
MS-894 Minerva,SOCATA
MT-03,AUTOGYRO
MT-03,ROTORSPORT
MTOSport,AUTOGYRO
MTOSport,ROTORSPORT
Mü-30 Schlacro,AKAFLIEG MUNCHEN
MXP-740 Savannah,ICP
MXS,MXR
N-2 Nomad,GAF
N-22 Floatmaster,GAF
N-22 Missionmaster,GAF
N-22 Nomad,GAF
N-22 Searchmaster,GAF
N-24 Nomad,GAF
N-63 Lasta,UTVA
N-591 Regente,NEIVA
N-592 Regente,NEIVA
N-621 Universal,NEIVA
N-622 Universal,NEIVA
NA-145 Navion,NORTH AMERICAN
NA-154 Navion,NORTH AMERICAN
Namcu,ENAER
Namcu ECH-02,ENAER
Navion,RYAN
Navion,TUSCO
Navion,NORTH AMERICAN
Navion L-17,NORTH AMERICAN
Navion L-17,RYAN
Navion NA-145,NORTH AMERICAN
Navion NA-154,NORTH AMERICAN
Navion U-18,NORTH AMERICAN
Navion U-18,RYAN
NGP,CESSNA
Nibbio,AVIAMILANO
Nibbio F-14,AVIAMILANO
Nieuport 17,REDFERN
Nieuport 24,REDFERN
Nimrod,HAWKER SIDDELEY
Nimrod,BRITISH AEROSPACE
Nimrod,BAE SYSTEMS
Nipper,COBELAVIA
Nipper,AVIONS FAIREY
Nipper,SLINGSBY
Nipper,TIPSY
Nipper,NIPPER
Nipper D-158,COBELAVIA
Nipper T-66,SLINGSBY
Nipper T-66,NIPPER
Nipper T-66,TIPSY
Nipper T-66,AVIONS FAIREY
NJ-21 Jastreb,SOKO
NJ Yale,NORTH AMERICAN
Nomad,GAF
Nomad N-2,GAF
Nomad N-22,GAF
Nomad N-24,GAF
Noratlas,NORDFLUG
Noratlas,NORD
Noratlas 2501,NORD
Noratlas 2501,NORDFLUG
Nordic 2,NORMAN
Nordic 5,NORMAN
Nordic 6,NORMAN
Nordic 7,NORMAN
Nordic 8 Mini Explorer,NORMAN
Norseman,CCF
Norseman,NOORDUYN
Norseman C-64,NOORDUYN
Norseman JA,NOORDUYN
Norseman UC-64,NOORDUYN
North Star,CUSTOM FLIGHT
NSA-330 Puma,NURTANIO
NXT,NEMESIS
Nynja,BEST OFF
OA-7 Optica,FLS
OA-7 Optica,OPTICA
OA-7 Optica Scout,BROOKLANDS
OA-10 Catalina,CONSOLIDATED
OA-10 Catalina,CONVAIR
OA-10 Catalina,CANADIAN VICKERS
OA-10 Catalina,CANADAIR
Omega 2,ISAE
OMF-100 Symphony,OMF
One Design,AIRCRAFT SPRUCE
One Design,RIHN
One Design DR-107,RIHN
One Design DR-107,AIRCRAFT SPRUCE
Onex,SONEX
Optica,FLS
Optica,EDGLEY
Optica,OPTICA
Optica Scout,BROOKLANDS
Optica Scout OA-7,BROOKLANDS
Optica EA-7,EDGLEY
Optica OA-7,OPTICA
Optica OA-7,FLS
Oscar,PARTENAVIA
Oscar P-64,PARTENAVIA
Oscar P-66,PARTENAVIA
Ovod,VITEK
Ozzie Mozzie,BUCHANAN
Ozzie Mozzie BAC-204,BUCHANAN
P-2 Kraguj,SOKO
P-10 Vega Gull,PERCIVAL
P-28 Proctor,PERCIVAL
P-30 Proctor,PERCIVAL
P-31 Proctor,PERCIVAL
P-34 Proctor,PERCIVAL
P-40 Prentice,PERCIVAL
P-44 Proctor,PERCIVAL
P-56 Provost,HUNTING PERCIVAL
P-56 Provost,HUNTING
P-56 Provost,PERCIVAL
P-57 Sea Prince,PERCIVAL
P-64 Oscar,PARTENAVIA
P-66 Charlie,PARTENAVIA
P-66 Oscar,PARTENAVIA
P-66 Pembroke,HUNTING PERCIVAL
P-66 Pembroke,HUNTING
P-66 Pembroke,PERCIVAL
P-70 Acey Deucy,POWELL
P-84 Jet Provost,HUNTING PERCIVAL
P-84 Jet Provost,HUNTING
P-92 Eaglet,TECNAM
P-92 Echo,TECNAM
P-92 SeaSky,TECNAM
P-96 Golf,TECNAM
P-2002,TECNAM
P-2002 Sierra,TECNAM
P-2004 Bravo,TECNAM
PA-28R-300 Pillán,PIPER
PA-60 Aerostar,PIPER
Pairadigm,VSTOL
Pairadigm SST-2000,VSTOL
Pantera,ENAER
Pantera 50,ENAER
Panther,ULLMANN
Panther 2,ROTEC
Panther Plus,ROTEC
Papango,ALMS
Papango,SAUPER
Papango ADV-01,SAUPER
Parrot,CZAW
Parrot,CSA
Partizan,SOKO
Partizan H-45,SOKO
Partizan HN-42,SOKO
Partizan HN-45,SOKO
Partizan HO-42,SOKO
Partizan SA-341,SOKO
Partizan SA-342,SOKO
Pashosh,SOCATA
Pashosh TB-20,SOCATA
Paturi,EDRA
Paulistinha,PAULISTA
Paulistinha,NEIVA
Paulistinha 56,NEIVA
Paulistinha CAP-4,PAULISTA
Paulistinha L-6,NEIVA
PBA,WACO
PBF,WACO
PBV Catalina,CANADIAN VICKERS
PBY Catalina,CONSOLIDATED
PBY Catalina,CANADIAN VICKERS
PBY Catalina,CONVAIR
PBY Catalina,BOEING CANADA
PCF,WACO
Pegaso,GENERAL AVIA
Pegaso F-20,GENERAL AVIA
"Pegasus RH-1100, ROGERSON HILLER FH11 LPegazair",PEGASE AERO
Pegazair,TAPANEE
Pelican,FLYER
Pelican,KOLB
Pelican,ULTRAVIA
Pelikan,UETZ
Pelikan U-3M,UETZ
Pelikan U-4M,UETZ
Pembroke,HUNTING PERCIVAL
Pembroke,HUNTING
Pembroke,PERCIVAL
Pembroke P-66,HUNTING
Pembroke P-66,PERCIVAL
Pembroke P-66,HUNTING PERCIVAL
Perigee,HOLCOMB
Petrel,AERO ITBA
Petrel,NASH
Pétrel,BILLIE
Pétrel,SMAN
Phantom,CORVUS
Phenix,PHENIX
Phillicopter,VTOL AIRCRAFT
Phoenix,FREEDOM
Picchio,GENERAL AVIA
Picchio,PROCAER
Picchio F-15,PROCAER
Picchio F-15,GENERAL AVIA
Pillán,ENAER
Pillán,CASA
Pillán,INDAER CHILE
Pillán,PIPER
Pillán ECH-51,ENAER
Pillán PA-28R-300,PIPER
Pillán T-35,INDAER CHILE
Pillán T-35,CASA
Pillán T-35A,ENAER
Pillán T-35B,ENAER
Pillán T-35C,ENAER
Pillán T-35D,ENAER
Pillán T-35S,ENAER
"Pinguino, GENERAL AVIA PINO LPinguino Sprint",GENERAL AVIA
Pinguino Sprint F-22,GENERAL AVIA
Pinguino F-22,GENERAL AVIA
PiperSport,CSA
PiperSport,PIPER
PLA,WACO
Pocket Rocket PR-582,HOWARD HUGHES
Pocket Rocket PR-Bipe,HOWARD HUGHES
Pocket Rocket PR-Breeze,HOWARD HUGHES
Pocket Rocket PR-XP,HOWARD HUGHES
Polliwagen,ALVAREZ
Pony,REDA
PQ-8 Cadet,CULVER
PQ-14 Cadet,CULVER
Prentice,PERCIVAL
Prentice P-40,PERCIVAL
Private Explorer,PRIVATE EXPLORER
"Proctor, PERCIVAL PROC LProctor P-28",PERCIVAL
Proctor P-30,PERCIVAL
Proctor P-31,PERCIVAL
Proctor P-34,PERCIVAL
Proctor P-44,PERCIVAL
ProStar,PROTECH
ProStar PT-2,PROTECH
Proteus,SCALED
Proteus,RUTAN
Proteus 281,SCALED
Proteus 281,RUTAN
Provost,HUNTING PERCIVAL
Provost,HUNTING
Provost,PERCIVAL
Provost P-56,HUNTING
Provost P-56,HUNTING PERCIVAL
Provost P-56,PERCIVAL
Prowler,MORSE
Prowler,PROWLER
Prowler 364,MORSE
PSO,WACO
PT-2 ProStar,PROTECH
PT-2 Sassy,PROTECH
PT-20,RYAN
Pulsar,AERO DESIGNS
Pulsar,PULSAR
Pulsar,SKYSTAR
Puma,ICA
Puma,AEROSPATIALE
Puma,IAR
Puma,SUD
Puma,WESTLAND
Puma,NURTANIO
Puma CH-33,AEROSPATIALE
Puma IAR-330,ICA
Puma IAR-330,IAR
Puma NSA-330,NURTANIO
Puma SA-330,SUD
Puma SA-330,AEROSPATIALE
Pup,BEAGLE
Pup B-121,BEAGLE
Pursuit,RANS
Pursuit S-11,RANS
Pusher,PRESCOTT
Python,KIMBALL
PZL P-11C,HISTORICAL AIRCRAFT
QCF,WACO
QDC,WACO
QSO,WACO
Quail,AEROSPORT
Qualt,FMP
Quasar Lite,AEROALCOOL
Quickie,QUICKIE
R7V Constellation,LOCKHEED
R-80 Tiger Moth,FISHER
Radial Rocket,NEW CENTURY
Rafale,DASSAULT
Rail,AEROSPORT
Rally,STORMAIRCRAFT
Rally,SG AVIATION
Rallye 100,SOCATA
Rallye 100 MS-880,SOCATA
Rallye 115,SOCATA
Rallye 115 MS-883,SOCATA
Rallye 125,SOCATA
Rallye 125 MS-887,SOCATA
Rallye 150,SOCATA
Rallye 150 MS-892,SOCATA
Rallye 235,SOCATA
Rallye Club,SOCATA
"Rallye Club, MORANE-SAULNIER RALL LRallye Club MS-880",SOCATA
Rallye Commodore,SOCATA
Rallye Commodore MS-892,SOCATA
Rallye Commodore MS-893,SOCATA
Rallye Minerva,SOCATA
Rallye Minerva MS-884,SOCATA
Rangemaster,NAVION
RangeR,DAC
Raz-Mut,SAINT GERMAIN
RB-4 Bearhawk,AVIPRO
RBA,WACO
RC-121 Constellation,LOCKHEED
RC-412 Free Spirit,CABRINHA
RC-412 Free Spirit,CEI
RC-412 Free Spirit,FREE SPIRIT
Rebel,MURPHY
Rebel Elite,MURPHY
Regente,NEIVA
Regente C-42,NEIVA
Regente L-42,NEIVA
Regente N-591,NEIVA
Regente N-592,NEIVA
Regional Jet CRJ-1000,BOMBARDIER
Reliant,STINSON
Reliant AT-19,STINSON
Reliant SR,STINSON
Reliant V-77,STINSON
Renegade,MURPHY
Revelation,SLIPSTREAM
RJ-1 Jastreb,SOKO
RNF,WACO
Rocket Racer,VELOCITY
Rondone,AMBROSINI
Rondone,LOMBARDI
Rondone 2,PASOTTI
Rondone 2 F-7,PASOTTI
Rondone F-4,LOMBARDI
Rondone F-4,AMBROSINI
Rooivalk,ATLAS
Rooivalk,DENEL
Rooivalk AH-2,DENEL
Rooivalk CSH-2,DENEL
Rooivalk CSH-2,ATLAS
Roto-Pup,LITTLE WING
Rotormouse,HILLBERG
Rotormouse EH1-01,HILLBERG
RPT,WACO
RS-80 Tiger Moth,FISHER
RSA-200 Falcon,AFIC
Rubis,SCINTEX
Rubis ML-250,SCINTEX
Ryan Trainer,HISTORICAL AIRCRAFT
S,WACO
S-1-11 Super Stinker,AVIAT
S-1-11 Super Stinker,PITTS
"S-3 Viking, LOCKHEED S3 MS3HD",WACO
S-7 Courier,RANS
S-10 Sakota,RANS
S-11 Pursuit,RANS
S-12 Macho Stinker,KIMBALL
S-12 Macho Stinker,PITTS
S-12 Python,KIMBALL
S-12 Super Stinker,KIMBALL
S-12 Super Stinker,PITTS
S-16 Shekari,RANS
S-19 Venterra,RANS
S-25 Sandringham,SHORT
S-312 Tucano,SHORT
S Sidewinder,SMYTH
SA-2 Star Streak,CFM
"SA-2 Vimana, ICP SA2 LSA-3 Bulldog",BRITISH AEROSPACE
SA-3 Bulldog,SCOTTISH AVIATION
SA-60 Silhouette,LUNDS TEKNISKE
SA-60 Silhouette,SILHOUETTE
SA-160 Symphony,SYMPHONY
SA-315 Cheetah,HINDUSTAN
SA-315 Cheetal,HINDUSTAN
SA-315 Lama,AEROSPATIALE
SA-315 Lama,EUROCOPTER
SA-315 Lama,SUD
SA-315 Lancer,HINDUSTAN
SA-321 Super Frelon,AEROSPATIALE
SA-321 Super Frelon,SUD
SA-330 Puma,AEROSPATIALE
SA-330 Puma,SUD
SA-341 Gazelle,AEROSPATIALE
SA-341 Gazelle,SUD
SA-341 Partizan,SOKO
SA-342 Gazelle,EUROCOPTER
SA-342 Gazelle,AEROSPATIALE
SA-342 Gazelle,ABHCO
SA-342 Gazelle,SUD
SA-342 Partizan,SOKO
Saba,PARAVAR PARS
Saeta,HISPANO
Saeta HA-200,HISPANO
Safari,CANADIAN HOME ROTORS
Saffire,HALSTED
Sakota,RANS
Sakota S-10,RANS
Samaritan,CONVAIR
Samaritan C-131,CONVAIR
Sandringham,SHORT
Sandringham S-25,SHORT
Saphir,PIEL
Saphir CP-1320,PIEL
Saras,NAL
Sassy,PROTECH
Sassy PT-2,PROTECH
Savage,RUSSO
Savage,ZLIN AVIATION
Savannah,ICP
Savannah MXP-740,ICP
Sbach 300,XTREMEAIR
SBD Dauntless,DOUGLAS
SC-5 Belfast,SHORT
SC-07 Speed Cruiser,BOT AIRCRAFT
Scamp,AEROSPORT
"Scepter, SLIPSTREAM SCEP LSchlacro",AKAFLIEG MUNCHEN
Schlacro Mü-30,AKAFLIEG MUNCHEN
Scooter,FLAGLOR
Scorpion,ROTORWAY
Scout,WESTLAND
Scub,AERO KUHLMANN
SD-27 Corriedale,SIVEL
Sea Devon,DE HAVILLAND
Sea Fury,HAWKER
Sea Harrier,BRITISH AEROSPACE
Sea Hawk,HAWKER
Sea Hawk,ARMSTRONG WHITWORTH
Sea Hawker,AERO GARE
Sea Hurricane,HAWKER
Sea Panther,ROTEC
Sea Prince,PERCIVAL
Sea Prince P-57,PERCIVAL
Sea Storm,SG AVIATION
Seafire,SUPERMARINE
SeaMax,AIRMAX
SeaMax M-22,AIRMAX
Searchmaster,GAF
Searchmaster N-22,GAF
SeaRey,PROGRESSIVE AERODYNE
SeaSky,TECNAM
SeaSky P-92,TECNAM
"Seasprite SH-2, KAMAN H2 LSeaStar",EDRA
SeaStar,AAC
SeaStar,SEASTAR
Seawind,SEAWIND
Sentinel,BOMBARDIER
Sentinel,RAYTHEON
SH-14 Lynx,WESTLAND
Shackleton,AVRO
Shackleton 696,AVRO
Shamsher,HINDUSTAN
Shamsher,SEPECAT
Shark,SHARK AERO
Shearwater,SEAFLIGHT
Shekari,RANS
Shekari S-16,RANS
Sherpa,SHERPA
Sherpa C-400,SHERPA
Sherpa K-650T,SHERPA
Shoestring,MERCURY
Shuttle Carrier,BOEING
Shuttle Carrier 747SCA,BOEING
Sidewinder,SMYTH
Sidewinder S,SMYTH
Sierra,TECNAM
Sierra P-2002,TECNAM
Sigma,ELITAR
Silhouette,LUNDS TEKNISKE
Silhouette,SILHOUETTE
Silhouette SA-60,SILHOUETTE
Silhouette SA-60,LUNDS TEKNISKE
Sinus,PIPISTREL
Sk61,SCOTTISH AVIATION
Skimmer,COLONIAL
Skimmer C-1,COLONIAL
Skimmer C-2,COLONIAL
Sky Arrow,III
Sky Cruiser,BILSAM
Sky Ranger,BEST OFF
Sky Ranger,STRIPLIN
Sky Ranger,SYNAIRGIE
SkyBlaster,SLIPSTREAM
Skybolt,STEEN
Skyboy,INTERPLANE
Skycar,OMA SUD
Skycycle,CARLSON
Skyfox,PACI
Skylane,AIRLONY
Skylark,DRIGGS
Skyote,SKYOTE AEROMARINE
SkyQuest,INNOVATION
SkyQuest,SLIPSTREAM
Skyranger,REARWIN
Skyranger 175,REARWIN
Skyranger 180,REARWIN
SkyWind,HYDROPLANE
Snobird Adventurer,CALUMET
Snobird Adventurer,SNOBIRD
Snobird Adventurer 636,SNOBIRD
Snobird Adventurer 636,CALUMET
Snoshoo,VSR
Snoshoo SR-1,VSR
SNV Valiant,VULTEE
SO-1221 Djinn,SUD
SO-4050 Vautour,SUD
Sokol,MRAZ
Sokol M-1,MRAZ
Solitaire,RUTAN
Solitaire 77,RUTAN
Sonata,AIRSPORT
Sonerai,GREAT PLAINS
Sonerai,MONNETT
Sonex,SONEX
Sopwith Pup,CULP
"Sopwith Triplane, ST. CROIX STRI LSora",ACS
Space Walker 1,ANGLIN
Space Walker 2,ANGLIN
SparrowHawk,AMERICAN AUTOGYRO
Special,BEETS
Special,CASSUTT
Special,CULP
Special,WHATLEY
Special GB,BEETS
Speed Arrow,III
Speed Cruiser,BOT AIRCRAFT
Spinus,AMERICAN AUTOGYRO
Spirit,QUESTAIR
Spitfire,ISAACS
Spitfire,SUPERMARINE
Spitfire,TIME WARP
Spitfire Elite,LOEHLE
Spitfire Mk25,SUPERMARINE AIRCRAFT
Spitfire Mk26,SUPERMARINE AIRCRAFT
SPn Utility Jet,GROB
SPn Utility Jet G-180,GROB
Sport,MONG
"Sport 19, BEECH BE19 LSport 1700",AMAX
Sport Racer,SPORT RACER
SportCopter 2,SPORT COPTER
SportCruiser,CZAW
SportCruiser,CSA
Sportsman 2+2,GLASAIR
Sportsman 2+2,NEW GLASTAR
SportStar,EVEKTOR
Sportster,REARWIN
Sportster 7000,REARWIN
Sportster 8500,REARWIN
Sportster 9000,REARWIN
Sportster Gyro,AIRCRAFT DESIGNS
Sprite,PRACTAVIA
SR-1 Snoshoo,VSR
SR Reliant,STINSON
SRE Aristocrat,WACO
SS-4 Storch,STORCH AVIATION
SS-4 Storch,SLEPCEV
SS-4 Super Storch,STORCH AVIATION
SS-2000 Super Solution,VSTOL
SST-2000 Pairadigm,VSTOL
ST-A,RYAN
Stallion,HELIO
Stallion,AIRCRAFT DESIGNS
Stallion AU-24,HELIO
Stallion HST-550,HELIO
Star Streak,CFM
Star Streak SA-2,CFM
Starship,BEECH
Starship,RAYTHEON
Starship 2000,RAYTHEON
Starship 2000,BEECH
Stearman,PODESVA
Stiletto,TERZI
Stiletto T-9,TERZI
ST-M,RYAN
Storch,FLY SYNTHESIS
Storch,SLEPCEV
Storch,STORCH AVIATION
Storch SS-4,STORCH AVIATION
Storch SS-4,SLEPCEV
Storm,SG AVIATION
Storm,STORMAIRCRAFT
Storm Rally,PRESTIGE
ST-R,RYAN
Strato 1,GROB
Strato 1 G-520,GROB
Strato-Courier,HELIO
Strato-Courier H-392,HELIO
Strikemaster,BRITISH AEROSPACE
Strikemaster,BAC
Strikemaster 167,BAC
Strikemaster BAC-167,BRITISH AEROSPACE
Sunbird,VERILITE
Sunbird 100,VERILITE
Sunday Knight Twister,PAYNE
Super Ace,ACRO SPORT
Super Ace,ACE
Super Ace,CORBEN
Super Ace,POBER
Super Acro-Sport,ACRO SPORT
Super Acro-Sport,EAA
Super Baby Lakes,AIRCRAFT SPRUCE
Super Baby Lakes,OLDFIELD
Super Constellation,LOCKHEED
"Super Constellation L-1049, LOCKHEED CONI MSuper Coot",AEROCAR
Super Courier,HELIO
Super Courier H-295,HELIO
Super Courier H-395,HELIO
Super Courier HT-295,HELIO
Super Courier U-10,HELIO
Super Dimona,HOAC
Super Dimona,DIAMOND
Super Dimona HK-36,HOAC
Super Dimona HK-36,DIAMOND
Super Etendard,DASSAULT
Super Frelon,AEROSPATIALE
Super Frelon,SUD
Super Frelon SA-321,SUD
Super Frelon SA-321,AEROSPATIALE
Super Guepard,AERO SERVICES
Super Guppy,AERO SPACELINES
Super Guppy 377SGT,AERO SPACELINES
Super Hornet,HIGHER CLASS
Super Lynx,WESTLAND
Super Navion,RYAN
Super Petrel,EDRA
Super Pulsar 100,PULSAR
Super Sabre,NORTH AMERICAN
Super Sabre F-100,NORTH AMERICAN
Super Saeta,HISPANO
Super Saeta,CASA
Super Saeta HA-220,HISPANO
Super Saeta HA-220,CASA
Super Sky Raider,SKY RAIDER
Super Solution,VSTOL
Super Solution SS-2000,VSTOL
Super Stallion,AIRCRAFT DESIGNS
Super Starduster,STOLP
Super Stinker,KIMBALL
Super Stinker,AVIAT
Super Stinker (S-1-11),PITTS
Super Stinker (S-12),PITTS
Super Stinker S-1-11,PITTS
Super Stinker S-1-11,AVIAT
Super Stinker S-12,PITTS
Super Stinker S-12,KIMBALL
Super Storch,STORCH AVIATION
Super Storch SS-4,STORCH AVIATION
Super Universal,FOKKER
Super-Chipmunk,LEGER
SuperCobra,BELL
SuperCobra 209,BELL
SuperCobra 449,BELL
SuperCobra AH-1W,BELL
SuperCobra AH-1Z,BELL
Supermarine Spitfire,THUNDER WINGS
Superstar,MACHEN
SuperTransport,BELL
SuperTransport 214ST,BELL
Surion,KOREA AEROSPACE
Surubim,IPT
Surubim IPT-16,IPT
Swati,BHARAT
Swati LT-1,BHARAT
Swati LT-2,BHARAT
Swick-T,SWICK
Swift,SUPERMARINE
Swordfish,BLACKBURN
Swordfish,FAIREY
Sycamore,BRISTOL
Sycamore,CHAYAIR
Sycamore 171,BRISTOL
Symphony,OMF
